proximal_pos, distal_pos, proximal_vel, distal_vel
-4388,10300,-13,-260
-4284.990826,10150.31498,-13.33333333,-506
-4182.181651,10004.7633,-14.2,-748.8
-4079.372477,9817.944954,-15,-1032.8
-3980.363303,9705.726606,-19.6,-1243
-3881.354128,9593.508257,-24,-1453.2
-3782.344954,9436.489908,-28.4,-1696.8
-3737.73578,9279.47156,-81.2,-1940.4
-3693.126606,9040.853211,-134,-2223.6
-3765.917431,8802.234862,-303,-2506.8
-3838.708257,8305.016514,-472,-2972.6
-4044.699083,7949.998165,-774.4,-3308.2
-4196.089908,7293.979817,-1027.8,-3848
-4469.480734,6833.361468,-1403.6,-4234.8
-4621.67156,6042.543119,-1659.4,-4838
-4885.062385,5510.324771,-2023.2,-5258.6
-5015.253211,4616.906422,-2253.6,-5897
-5245.644037,4024.488073,-2531.6,-6331.2
-5354.034862,3031.669725,-2687.2,-6971.4
-5550.225688,2369.051376,-2810.8,-7395.2
-5635.216514,1271.433028,-2826.4,-7997.4
-5794.607339,535.0146789,-2783.8,-8381.8
-5853.798165,-655.4036697,-2693.6,-8919.2
-5969.988991,-1445.422018,-2538.2,-9250.6
-5998.379817,-2235.440367,-2414.8,-9582
-6070.570642,-3508.858716,-2224.2,-9963
-6068.361468,-4782.277064,-2091.8,-10344
-6099.952294,-6053.295413,-1893,-10624.2
-6074.543119,-7324.313761,-1759.4,-10904.4
-6073.533945,-9037.33211,-1561.8,-11192.4
-6028.724771,-9831.950459,-1431.4,-11252.4
-6002.115596,-11057.16881,-1244.6,-11289.4
-5941.706422,-11830.78716,-1124.2,-11274.2
-5945.297248,-13045.6055,-1008.2,-11239.8
-5924.488073,-13818.42385,-956.2,-11197.6
-6048.078899,-15038.4422,-1003,-11146.2
-6153.469725,-15827.86055,-1106.2,-11117.8
-6446.46055,-17050.4789,-1362.6,-11070.8
-6675.451376,-17831.89725,-1614.6,-11043
-7095.642202,-19028.1156,-2033.2,-10988
-7371.433028,-19777.13394,-2353,-10942.2
-7841.023853,-20924.95229,-2848.2,-10864.2
-8123.014679,-21639.57064,-3190.2,-10804.8
-8621.805505,-22734.98899,-3686.4,-10686.6
-8929.39633,-23415.60734,-4016,-10595.6
-9479.187156,-24461.62569,-4444.2,-10421.2
-9835.177982,-25108.84404,-4697,-10279
-10451.56881,-26104.46239,-5022.6,-10052.6
-10851.15963,-26719.28073,-5194,-9885
-11250.75046,-27334.09908,-5365.4,-9717.4
-11962.94128,-27916.31743,-5607.6,-9551.8
-12675.13211,-28498.53578,-5849.8,-9386.2
-13435.72294,-29061.35413,-6111.6,-9234.2
-14196.31376,-29624.17248,-6373.4,-9082.2
-15280.10459,-30517.79083,-6716.2,-8879.6
-15809.09541,-31078.60917,-6889.6,-8758.4
-16656.08624,-31975.42752,-7121.6,-8608.2
-17194.27706,-32543.24587,-7261.2,-8528.6
-18057.66789,-33444.06422,-7455.8,-8432
-18597.85872,-34014.08257,-7569.4,-8386
-19474.44954,-34907.30092,-7735.2,-8330.6
-20033.04037,-35464.51927,-7842.4,-8304.2
-20931.03119,-36334.93761,-7980.6,-8262.6
-21503.82202,-36872.35596,-8063.8,-8238
-22421.01284,-37708.77431,-8167.6,-8181.8
-23001.80367,-38221.99266,-8219.2,-8135
-23928.3945,-39019.01101,-8299.4,-8036.6
-24515.58532,-39502.82936,-8348.6,-7953.4
-25443.37615,-40255.64771,-8413.4,-7807.2
-26026.76697,-40709.46606,-8457.6,-7692.6
-26610.1578,-41163.2844,-8501.8,-7578
-27175.94862,-41825.90275,-8509.6,-7371.2
-27741.73945,-42488.5211,-8517.4,-7164.4
-28284.13028,-43084.93945,-8487,-6925.4
-28826.5211,-43681.3578,-8456.6,-6686.4
-29673.71193,-44430.57615,-8388.6,-6317.2
-30192.70275,-44687.1945,-8328.4,-6091.8
-31013.69358,-45064.81284,-8222.8,-5718.8
-31517.4844,-45239.63119,-8139.8,-5441
-32315.47523,-45520.24954,-8012,-5013.8
-32808.66606,-45648.06789,-7921.8,-4716.8
-33580.65688,-45869.68624,-7781.4,-4275.4
-34050.64771,-45970.30459,-7686.4,-3981.6
-34783.43853,-46070.92294,-7537.6,-3687.8
-35222.02936,-46141.94128,-7433.6,-3416.2
-35907.82018,-46212.95963,-7271.2,-3144.6
-36314.81101,-46244.77798,-7159,-2918.2
-36952.00183,-46276.59633,-6976,-2691.8
-37326.39266,-46347.61468,-6846.8,-2383.4
-37905.18349,-46342.43303,-6627.6,-2202.2
-38236.77431,-46367.65138,-6466.8,-1945.8
-38738.96514,-46338.26972,-6198.8,-1788.6
-39010.95596,-46333.08807,-6001.6,-1561.6
-39407.14679,-46288.70642,-5667,-1416.6
-39598.93761,-46262.32477,-5422.4,-1212.8
-39880.72844,-46205.54312,-5021.2,-1084.2
-39991.91927,-46159.96147,-4727.2,-912
-40174.51009,-46090.17982,-4274.2,-809.6
-40232.90092,-46027.39817,-3958.6,-675
-40350.09174,-45946.61651,-3497,-599.2
-40377.28257,-45868.03486,-3192,-494.8
-40443.87339,-45778.25321,-2755,-434
-40439.06422,-45688.47156,-2477,-347.6
-40451.85505,-45591.68991,-2091.4,-293.4
-40405.84587,-45494.90826,-1851.8,-239.2
-40363.2367,-45395.92661,-1525.4,-179
-40281.22752,-45296.94495,-1331,-118.8
-40199.21835,-45197.9633,-1060.2,-60.4
-40103.00917,-45098.98165,-835.6666667,24.66666667
-40000,-45000,-581,104
