,proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos,equation,,,
0.01,-3000,10940,0,0,0.580550015,9010.2318,1,4,64
0.02,-3000,10940,0,0,0.580550015,9315.2496,2,,
0.03,-3000,10937,0,-3,0.580550015,9591.7652,3,,
0.04,-3000,10937,0,-3,0.580550015,9840.288,4,,
0.05,-3004,10928,-4,-11,0.580550015,10061.325,5,,
0.06,-3004,10928,-4,-11,0.580550015,10255.3808,6,,
0.07,-3018,10907,-18,-32,0.580550015,10422.9576,7,,
0.08,-3018,10907,-18,-32,0.580550015,10564.5552,8,,
0.09,-3035,10843,-34,-92,0.580550015,10680.671,9,,
0.1,-3035,10843,-34,-92,0.580550015,10771.8,10,,
0.11,-3112,10734,-106,-200,0.580550015,10838.4348,11,,
0.12,-3112,10734,-106,-200,0.580550015,10881.0656,12,,
0.13,-3112,10569,-106,-359,0.580550015,10900.1802,13,,
0.14,-3306,10569,-295,-359,0.580550015,10896.264,14,,
0.15,-3306,10319,-295,-596,0.580550015,10869.8,15,,
0.16,-3592,10319,-574,-596,0.580550015,10821.2688,16,,
0.17,-3592,9982,-574,-909,0.580550015,10751.1486,17,,
0.18,-3909,9982,-876,-909,0.580550015,10659.9152,18,,
0.19,-3909,9588,-876,-1242,0.580550015,10548.042,19,,
0.2,-4267,9588,-1215,-1242,0.580550015,10416,20,,
0.21,-4267,9133,-1215,-1586,0.580550015,10264.2578,21,,
0.22,-4676,9133,-1550,-1586,0.580550015,10093.2816,22,,
0.23,-4676,8625,-1550,-1928,0.580550015,9903.5352,23,,
0.24,-5132,8625,-1815,-1928,0.580550015,9695.48,24,,
0.25,-5132,8100,-1815,-2210,0.580550015,9469.575,25,,
0.26,-5627,8100,-2026,-2210,0.580550015,9226.2768,26,,
0.27,-5627,8100,-2026,-2210,0.580550015,8966.0396,27,,
0.28,-6122,7592,-2205,-2384,0.580550015,8689.3152,28,,
0.29,-6122,7592,-2205,-2384,0.580550015,8396.553,29,,
0.3,-6635,7088,-2362,-2495,0.580550015,8088.2,30,,
0.31,-6635,7088,-2362,-2495,0.580550015,7764.7008,31,,
0.32,-7193,6542,-2510,-2585,0.580550015,7426.4976,32,,
0.33,-7193,6542,-2510,-2585,0.580550015,7074.0302,33,,
0.34,-7809,5934,-2671,-2686,0.580550015,6707.736,34,,
0.35,-7809,5934,-2671,-2686,0.580550015,6328.05,35,,
0.36,-8453,5276,-2820,-2816,0.579552174,5935.4048,36,,
0.37,-8453,5276,-2820,-2816,0.579552174,5530.2306,37,,
0.38,-9104,4616,-2976,-2969,0.579552174,5112.9552,38,,
0.39,-9104,4616,-2976,-2969,0.579552174,4684.004,39,,
0.4,-9754,3944,-3113,-3135,0.579552174,4243.8,40,,
0.41,-9754,3944,-3113,-3135,0.579552174,3792.7638,41,,
0.42,-10404,3211,-3208,-3321,0.579552174,3331.3136,42,,
0.43,-10404,3211,-3208,-3321,0.579552174,2859.8652,43,,
0.44,-11062,2364,-3251,-3560,0.579552174,2378.832,44,,
0.45,-11062,2364,-3251,-3560,0.579552174,1888.625,45,,
0.46,-11705,1445,-3253,-3819,0.579552174,1389.6528,46,,
0.47,-11705,1445,-3253,-3819,0.579552174,882.3216,47,,
0.48,-12309,530,-3208,-4074,0.579552174,367.0352,48,,
0.49,-12309,530,-3208,-4074,0.579552174,-155.805,49,,
0.5,-12873,-467,-3125,-4395,0.579552174,-685.8,50,,
0.51,-12873,-467,-3125,-4395,0.579552174,-1222.5532,51,,
0.52,-13386,-1586,-2990,-4780,0.579552174,-1765.6704,52,,
0.53,-13386,-1586,-2990,-4780,0.579552174,-2314.7598,53,,
0.54,-13867,-2753,-2814,-5104,0.579552174,-2869.432,54,,
0.55,-13867,-2753,-2814,-5104,0.579552174,-3429.3,55,,
0.56,-14303,-3990,-2607,-5421,0.579610348,-3993.9792,56,,
0.57,-14303,-3990,-2607,-5421,0.579610348,-4563.0874,57,,
0.58,-14705,-5293,-2404,-5806,0.579610348,-5136.2448,58,,
0.59,-14705,-5293,-2404,-5806,0.579610348,-5713.074,59,,
0.6,-15064,-6645,-2200,-6161,0.579610348,-6293.2,60,,
0.61,-15064,-6645,-2200,-6161,0.579610348,-6876.2502,61,,
0.62,-15379,-8054,-2002,-6458,0.579610348,-7461.8544,62,,
0.63,-15379,-8054,-2002,-6458,0.579610348,-8049.6448,63,,
0.64,-15653,-9472,-1796,-6708,0.579610348,-8639.256,64,,
0.65,-15653,-9472,-1796,-6708,0.579610348,-9230.325,65,,
0.66,-15880,-10914,-1587,-6914,0.579610348,-9822.4912,66,,
0.67,-15880,-10914,-1587,-6914,0.579610348,-10415.3964,67,,
0.68,-16062,-12339,-1368,-7041,0.579610348,-11008.6848,68,,
0.69,-16062,-12339,-1368,-7041,0.579610348,-11602.003,69,,
0.7,-16213,-13774,-1158,-7131,0.579610348,-12195,70,,
0.71,-16213,-13774,-1158,-7131,0.579610348,-12787.3272,71,,
0.72,-16345,-15190,-973,-7136,0.579610348,-13378.6384,72,,
0.73,-16345,-15190,-973,-7136,0.579610348,-13968.5898,73,,
0.74,-16489,-16584,-839,-7115,0.579610348,-14556.84,74,,
0.75,-16489,-16584,-839,-7115,0.579610348,-15143.05,75,,
0.76,-16718,-17962,-834,-7056,0.578612447,-15726.8832,76,,
0.77,-16718,-17962,-834,-7056,0.578612447,-16308.0054,77,,
0.78,-17066,-19344,-993,-7007,0.578612447,-16886.0848,78,,
0.79,-17066,-19344,-993,-7007,0.578612447,-17460.792,79,,
0.8,-17468,-20710,-1241,-6937,0.578612447,-18031.8,80,,
0.81,-17468,-20710,-1241,-6937,0.578612447,-18598.7842,81,,
0.82,-17893,-22032,-1535,-6846,0.578612447,-19161.4224,82,,
0.83,-17893,-22032,-1535,-6846,0.578612447,-19719.3948,83,,
0.84,-18352,-23323,-1850,-6742,0.578612447,-20272.384,84,,
0.85,-18352,-23323,-1850,-6742,0.578612447,-20820.075,85,,
0.86,-18902,-24550,-2168,-6594,0.578612447,-21362.1552,86,,
0.87,-18902,-24550,-2168,-6594,0.578612447,-21898.3144,87,,
0.88,-19530,-25746,-2452,-6410,0.578612447,-22428.2448,88,,
0.89,-19530,-25746,-2452,-6410,0.578612447,-22951.641,89,,
0.9,-20219,-26897,-2740,-6199,0.578612447,-23468.2,90,,
0.91,-20219,-26897,-2740,-6199,0.578612447,-23977.6212,91,,
0.92,-20931,-28038,-3025,-6014,0.578612447,-24479.6064,92,,
0.93,-20931,-28038,-3025,-6014,0.578612447,-24973.8598,93,,
0.94,-21662,-29185,-3296,-5868,0.578612447,-25460.088,94,,
0.95,-21662,-29185,-3296,-5868,0.578612447,-25938,95,,
0.96,-22430,-30274,-3521,-5729,0.579610348,-26407.3072,96,,
0.97,-22430,-30274,-3521,-5729,0.579610348,-26867.7234,97,,
0.98,-23245,-31337,-3708,-5598,0.579610348,-27318.9648,98,,
0.99,-23245,-31337,-3708,-5598,0.579610348,-27760.75,99,,
1,-24103,-32415,-3875,-5520,0.579610348,-28192.8,100,,
1.01,-24103,-32415,-3875,-5520,0.579610348,-28614.8382,101,,
1.02,-24947,-33525,-4012,-5488,0.579610348,-29026.5904,102,,
1.03,-24947,-33525,-4012,-5488,0.579610348,-29427.7848,103,,
1.04,-25762,-34702,-4099,-5513,0.579610348,-29818.152,104,,
1.05,-25762,-34702,-4099,-5513,0.579610348,-30197.425,105,,
1.06,-26568,-35873,-4138,-5595,0.579610348,-30565.3392,106,,
1.07,-26568,-35873,-4138,-5595,0.579610348,-30921.6324,107,,
1.08,-27374,-37002,-4129,-5661,0.579610348,-31266.0448,108,,
1.09,-27374,-37002,-4129,-5661,0.579610348,-31598.319,109,,
1.1,-28169,-38147,-4069,-5728,0.579610348,-31918.2,110,,
1.11,-28169,-38147,-4069,-5728,0.579610348,-32225.4352,111,,
1.12,-28938,-39279,-3992,-5753,0.579610348,-32519.7744,112,,
1.13,-28938,-39279,-3992,-5753,0.579610348,-32800.9698,113,,
1.14,-29673,-40403,-3915,-5706,0.579610348,-33068.776,114,,
1.15,-29673,-40403,-3915,-5706,0.579610348,-33322.95,115,,
1.16,-30382,-41531,-3817,-5660,0.573768497,-33563.2512,116,,
1.17,-30382,-41531,-3817,-5660,0.573768497,-33789.4414,117,,
1.18,-31073,-42608,-3704,-5607,0.573768497,-34001.2848,118,,
1.19,-31073,-42608,-3704,-5607,0.573768497,-34198.548,119,,
1.2,-31807,-43672,-3640,-5528,0.573768497,-34381,120,,
1.21,-31807,-43672,-3640,-5528,0.573768497,-34548.4122,121,,
1.22,-32618,-44702,-3677,-5430,0.573768497,-34700.5584,122,,
1.23,-32618,-44702,-3677,-5430,0.573768497,-34837.2148,123,,
1.24,-33461,-45688,-3783,-5291,0.573768497,-34958.16,124,,
1.25,-33461,-45688,-3783,-5291,0.573768497,-35063.175,125,,
1.26,-34289,-46636,-3902,-5112,0.573768497,-35152.0432,126,,
1.27,-34289,-46636,-3902,-5112,0.573768497,-35224.5504,127,,
1.28,-35087,-47566,-4010,-4966,0.573768497,-35280.4848,128,,
1.29,-35087,-47566,-4010,-4966,0.573768497,-35319.637,129,,
1.3,-35867,-48445,-4059,-4784,0.573768497,-35341.8,130,,
1.31,-35867,-48445,-4059,-4784,0.573768497,-35346.7692,131,,
1.32,-36650,-49305,-4034,-4606,0.573768497,-35334.3424,132,,
1.33,-36650,-49305,-4034,-4606,0.573768497,-35304.3198,133,,
1.34,-37446,-50174,-3986,-4493,0.573768497,-35256.504,134,,
1.35,-37446,-50174,-3986,-4493,0.556169629,-35190.7,135,,
1.36,-38252,-51011,-3964,-4380,0.556169629,-35106.7152,136,,
1.37,-38252,-51011,-3964,-4380,0.556169629,-35004.3594,137,,
1.38,-39047,-51798,-3962,-4240,0.556169629,-34883.4448,138,,
1.39,-39047,-51798,-3962,-4240,0.556169629,-34743.786,139,,
1.4,-39819,-52557,-3954,-4116,0.556169629,-34585.2,140,,
1.41,-39819,-52557,-3954,-4116,0.556169629,-34407.5062,141,,
1.42,-40567,-53321,-3920,-4024,0.556169629,-34210.5264,142,,
1.43,-40567,-53321,-3920,-4024,0.556169629,-33994.0848,143,,
1.44,-41284,-54058,-3842,-3890,0.556169629,-33758.008,144,,
1.45,-41284,-54058,-3842,-3890,0.556169629,-33502.125,145,,
1.46,-41973,-55387,-3727,-3596,0.556169629,-33226.2672,146,,
1.47,-41973,-55387,-3727,-3596,0.556169629,-32930.2684,147,,
1.48,-41973,-55387,-3727,-3596,0.556169629,-32613.9648,148,,
1.49,-43287,-55978,-3473,-3428,0.556169629,-32277.195,149,,
1.5,-43287,-55978,-3473,-3428,0.556169629,-31919.8,150,,
1.51,-43900,-56514,-3339,-3203,0.556169629,-31541.6232,151,,
1.52,-43900,-56514,-3339,-3203,0.556169629,-31142.5104,152,,
1.53,-44491,-56996,-3212,-2949,0.556169629,-30722.3098,153,,
1.54,-44491,-56996,-3212,-2949,0.556169629,-30280.872,154,,
1.55,-45044,-57434,-3078,-2701,0.556169629,-29818.05,155,,
1.56,-45044,-57434,-3078,-2701,0.513273358,-29333.6992,156,,
1.57,-45561,-57822,-2922,-2446,0.513273358,-28827.6774,157,,
1.58,-45561,-57822,-2922,-2446,0.513273358,-28299.8448,158,,
1.59,-46028,-58114,-2749,-2153,0.513273358,-27750.064,159,,
1.6,-46028,-58114,-2749,-2153,0.513273358,-27178.2,160,,
1.61,-46449,-58296,-2558,-1799,0.513273358,-26584.1202,161,,
1.62,-46449,-58296,-2558,-1799,0.513273358,-25967.6944,162,,
1.63,-46825,-58424,-2345,-1443,0.513273358,-25328.7948,163,,
1.64,-46825,-58424,-2345,-1443,0.513273358,-24667.296,164,,
1.65,-47158,-58507,-2123,-1089,0.513273358,-23983.075,165,,
1.66,-47158,-58507,-2123,-1089,0.513273358,-23276.0112,166,,
1.67,-47477,-58560,-1924,-753,0.513273358,-22545.9864,167,,
1.68,-47477,-58560,-1924,-753,0.513273358,-21792.8848,168,,
1.69,-47830,-58564,-1806,-461,0.513273358,-21016.593,169,,
1.7,-47830,-58564,-1806,-461,0.513273358,-20217,170,,
1.71,-48192,-58551,-1744,-263,0.513273358,-19393.9972,171,,
1.72,-48192,-58551,-1744,-263,0.513273358,-18547.4784,172,,
1.73,-48192,-58551,-1744,-263,0.513273358,-17677.3398,173,,
1.74,-48532,-58528,-1708,-111,0.513273358,-16783.48,174,,
1.75,-48532,-58528,-1708,-111,0.513273358,-15865.8,175,,
1.76,-48831,-58518,-1676,-14,0.480011821,-14924.2032,176,,
1.77,-48831,-58518,-1676,-14,0.480011821,-13958.5954,177,,
1.78,-49105,-58523,-1630,36,0.480011821,-12968.8848,178,,
1.79,-49105,-58523,-1630,36,0.480011821,-11954.982,179,,
1.8,-49389,-58522,-1562,43,0.480011821,-10916.8,180,,
1.81,-49389,-58522,-1562,43,0.480011821,-9854.2542,181,,
1.82,-49700,-58522,-1511,30,0.480011821,-8767.2624,182,,
1.83,-49700,-58522,-1511,30,0.480011821,-7655.7448,183,,
1.84,-50028,-58522,-1495,7,0.480011821,-6519.624,184,,
1.85,-50028,-58522,-1495,7,0.480011821,-5358.825,185,,
1.86,-50629,-58486,-1523,35,0.480011821,-4173.2752,186,,
1.87,-50629,-58486,-1523,35,0.480011821,-2962.9044,187,,
1.88,-50629,-58486,-1523,35,0.480011821,-1727.6448,188,,
1.89,-50904,-58372,-1516,143,0.480011821,-467.431,189,,
1.9,-50904,-58372,-1516,143,0.480011821,817.8,190,,
1.91,-51199,-58181,-1498,331,0.480011821,2128.1088,191,,
1.92,-51199,-58181,-1498,331,0.480011821,3463.5536,192,,
1.93,-51511,-57980,-1485,533,0.480011821,4824.1902,193,,
1.94,-51511,-57980,-1485,533,0.480011821,6210.072,194,,
1.95,-51791,-57794,-1455,715,0.480011821,7621.25,195,,
1.96,-51791,-57794,-1455,715,0.472261548,9057.7728,196,,
1.97,-52033,-57600,-1407,878,0.472261548,10519.6866,197,,
1.98,-52033,-57600,-1407,878,0.472261548,12007.0352,198,,
1.99,-52229,-57365,-1324,1002,0.472261548,13519.86,199,,
2,-52229,-57365,-1324,1002,0.472261548,15058.2,200,,
2.01,-52386,-57108,-1195,1072,0.472261548,16622.0918,201,,
2.02,-52386,-57108,-1195,1072,0.472261548,18211.5696,202,,
2.03,-52507,-56866,-1005,1113,0.472261548,19826.6652,203,,
2.04,-52507,-56866,-1005,1113,0.472261548,21467.408,204,,
2.05,-52593,-56658,-810,1135,0.472261548,23133.825,205,,
2.06,-52593,-56658,-810,1135,0.472261548,24825.9408,206,,
2.07,-52641,-56480,-617,1123,0.472261548,26543.7776,207,,
2.08,-52641,-56480,-617,1123,0.472261548,28287.3552,208,,
2.09,-52641,-56480,-617,1123,0.472261548,30056.691,209,,
2.1,-52664,-56331,-442,1040,0.472261548,31851.8,210,,
2.11,-52664,-56331,-442,1040,0.472261548,33672.6948,211,,
2.12,-52690,-56205,-310,908,0.472261548,35519.3856,212,,
2.13,-52690,-56205,-310,908,0.472261548,37391.8802,213,,
2.14,-52744,-56089,-239,782,0.472261548,39290.184,214,,
2.15,-52744,-56089,-239,782,0.472261548,41214.3,215,,
2.16,-52835,-55968,-240,695,0.472244024,43164.2288,216,,
2.17,-52835,-55968,-240,695,0.472244024,45139.9686,217,,
2.18,-52938,-55851,-294,631,0.472244024,47141.5152,218,,
2.19,-52938,-55851,-294,631,0.472244024,49168.862,219,,
2.2,-53034,-55759,-367,575,0.472244024,51222,220,,
2.21,-53034,-55759,-367,575,0.472244024,53300.9178,221,,
2.22,-53105,-55688,-413,521,0.472244024,55405.6016,222,,
2.23,-53105,-55688,-413,521,0.472244024,57536.0352,223,,
2.24,-53199,-55656,-456,432,0.472244024,59692.2,224,,
2.25,-53199,-55656,-456,432,0.472244024,61874.075,225,,
2.26,-53290,-55635,-455,335,0.472244024,64081.6368,226,,
2.27,-53290,-55635,-455,335,0.472244024,66314.8596,227,,
2.28,-53377,-55606,-439,250,0.472244024,68573.7152,228,,
2.29,-53377,-55606,-439,250,0.472244024,70858.173,229,,
2.3,-53439,-55604,-406,158,0.472244024,73168.2,230,,
2.31,-53439,-55604,-406,158,0.472244024,75503.7608,231,,
2.32,-53498,-55606,-394,84,0.472244024,77864.8176,232,,
